track_id,dimension,n_points,area
0,1.1094324421479564,7956,7956.0
1,1.6671241987820022,123,123.0
2,1.5244885832969324,264,264.0
3,1.6988085410040903,109,109.0
4,1.7244515511792142,375,375.0
5,1.6065623497435297,566,566.0
6,1.53554517787279,186,186.0
7,1.4879647435426182,201,201.0
8,1.6714246710991592,274,274.0
9,1.679219727094492,348,348.0
10,1.205634660128014,128,128.0
11,1.3388228662977344,3298,3298.0
12,1.4463220560629078,4023,4023.0
13,1.7399243093734462,241,241.0
14,1.2898535792435706,117,117.0
15,1.6996675430453412,1275,1275.0
16,1.5926951934989642,272,272.0
17,1.2122695605598919,640,640.0
18,1.3360841651837456,101,101.0
19,1.5696499561818116,306,306.0
20,1.2085071299659509,141,141.0
21,1.2369974502274674,171,171.0
22,1.4248218347246746,222,222.0
23,1.2241409375938224,166,166.0
24,1.4873459750561162,336,336.0
25,1.2129538846540708,462,462.0
26,1.034796435807777,246,246.0
27,1.1134127354457057,153,153.0
28,1.045856202565057,112,112.0
29,1.213032533645248,147,147.0
30,1.196278276904269,155,155.0
31,1.291485637148789,344,344.0
32,0.9506423773510199,138,138.0
